time,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
12-31 12:00,-170.839033,-192.020922,-183.902578,-177.291705,-170.550342,-192.380722,-185.717887,-178.064213,-171.752777,-194.06465,-186.242422,-179.309345,-171.747452,-192.412627,-185.440646,-177.883826,-171.280884,-193.597804,-185.353861,-178.774313,-172.391342,-193.798681,-187.81946,-179.932274,-172.443911,-194.403532,-185.733826,-179.228957,-172.97914,-193.565998,-187.444867
01-01 12:00,-199.457499,-220.265875,-212.398707,-205.716034,-199.038923,-220.793847,-214.002308,-206.541537,-200.347124,-222.2535,-214.688783,-207.758513,-200.212368,-220.817526,-213.722039,-206.296656,-199.870401,-221.764676,-213.749105,-207.220165,-200.797871,-222.162021,-216.110315,-208.318585,-201.053179,-222.576219,-214.08133,-207.68012,-201.362666,-221.89262,-215.739257
01-02 12:00,-227.748505,-248.188154,-240.577998,-233.80576,-227.234423,-248.865643,-241.951592,-234.720771,-228.615887,-250.111772,-242.821876,-235.868938,-228.377758,-248.887482,-241.661697,-234.411343,-228.138568,-249.593301,-241.835528,-235.326025,-228.898434,-250.196427,-244.053416,-236.403035,-229.344858,-250.402787,-242.121074,-235.792395,-229.432634,-249.895756,-243.682999
01-03 12:00,-255.680317,-275.761369,-268.403652,-261.533273,-255.107606,-276.560906,-269.540179,-262.56856,-256.526105,-277.613695,-270.605931,-263.611838,-256.215443,-276.586632,-269.233357,-262.196166,-256.051342,-277.058442,-269.578617,-263.061665,-256.665552,-277.865622,-271.621749,-264.15556,-257.284255,-277.857872,-269.819649,-263.534119,-257.161874,-277.53992,-271.247944
01-04 12:00,-283.222458,-302.959471,-295.839582,-288.871921,-282.629403,-303.845692,-296.74333,-290.051732,-284.04594,-304.734035,-298.00549,-290.959591,-283.697678,-303.880078,-296.411847,-289.619419,-283.575558,-304.135608,-296.943857,-290.398214,-284.072412,-305.133777,-298.789535,-291.546061,-284.837386,-304.917111,-297.143551,-290.874955,-284.52405,-304.789621,-298.407338
01-05 12:00,-310.345793,-329.756494,-322.851023,-315.795852,-309.770861,-330.687705,-323.536918,-317.137586,-311.144849,-331.447827,-324.985945,-317.885587,-310.797046,-330.734335,-323.172868,-316.649635,-310.679149,-330.800805,-323.897155,-317.30806,-311.09275,-331.966162,-325.531992,-318.54454,-311.97122,-331.556929,-324.059553,-317.785889,-311.493558,-331.609953,-325.1356
01-06 12:00,-337.022665,-356.126316,-349.404997,-342.27993,-336.50305,-357.056618,-349.897185,-343.794114,-337.79379,-357.730105,-351.514012,-344.364139,-337.486299,-357.117731,-349.492761,-343.255769,-337.331422,-357.030253,-350.405267,-343.764786,-337.700679,-358.329703,-351.825141,-345.121217,-338.653986,-357.754285,-350.535071,-344.23924,-338.045374,-357.967218,-351.408127
01-07 12:00,-363.226985,-382.042466,-375.470594,-368.29972,-362.796962,-382.924267,-375.800518,-369.99013,-363.965412,-383.555655,-377.558053,-370.370463,-363.738167,-383.000672,-375.348338,-369.407339,-363.503339,-382.800095,-376.436136,-369.743152,-363.870457,-384.193408,-377.645655,-371.246598,-364.855487,-383.486377,-376.538481,-370.20869,-364.154834,-383.829436,-377.201146
01-08 12:00,-388.934321,-407.477992,-401.019074,-393.831543,-388.623429,-408.26474,-401.223255,-395.695365,-389.634212,-408.898848,-403.088272,-395.880699,-389.5252,-408.355767,-400.716726,-395.074475,-389.167791,-408.086168,-401.959158,-395.219102,-389.576263,-409.528576,-402.97079,-396.891509,-390.547412,-408.73033,-402.039329,-395.669359,-389.797377,-409.16667,-402.491647
01-09 12:00,-414.121886,-432.40545,-426.023844,-418.852549,-413.95311,-433.054315,-426.141607,-420.880493,-414.776587,-433.733598,-428.076771,-420.871994,-414.819647,-433.157866,-425.575295,-420.227971,-414.299796,-432.863886,-426.945329,-420.169814,-414.792001,-434.308875,-427.778334,-422.027111,-415.70358,-433.462967,-427.008477,-420.597853,-414.948321,-433.951171,-427.257361
